Urun,Kaynak,Yazar,Yorum,Begeni,Tarih,Temiz_Yorum,Skor,Etiket,Hedef
Dyson Supurge,YouTube,@artmartm5047,"Evet ürün iyi çekiyor ama 27 bin tl yi sadece iyi çekiyor diye vermek aptallık olur. Öncelikle ürünü almadan önce ankara kentparkın altındaki dyson teknik servisin önünde yarım saat bekleyin ve ne kadar ürün geldiğini göreceksiniz,   gördüklerinizden sonra ürün deneyimim konusunda bana hak vereceksiniz.  Ürün uzun ömürlü değil eğer sık kullanım yaparsanız buda ortalama haftada  3-4 kere olursa pil ömrü ilk 6 ayında azalmaya başlıyor bir diğer konu kırmızı süngerimsi contaları çok adi yerinden çıkıyor ve ürün kullanılamaz hale geliyor. Servis verdiğinizde değişim ve ya iade seçeneği sunuyor değişim şansınız yok çünkü ürün stoklarda bir türlü bulunmuyor iade edeyim dediğinizde ise fatura bedeli üzerinden iade alıyorlar ve 1 sene içerisinde enflasyonu göz önünde bulundurduğunuzda iade etmeninde ne kadar kötü bir çözüm olduğunu anlarsınız. 1 yıllık tecrübem sonunda geriye dönersem asla bu markaya bu parayı vermem.",31,2024-03-05T15:35:52Z,evet ürün iyi çekiyor bin sadece iyi çekiyor vermek aptallık olur öncelikle ürünü alma önce ankara kentparkın altındaki dyson teknik servi önünde yarım saat bekleyin ürün geldiğini görecek gördükleriniz sonra ürün deneyim konusunda hak verecek ürün uzun ömürlü değil eğer sık kullanım yaparsanız buda ortalama haftada kere olursa pil ömrü ilk ayında azalmaya başlıyor diğer konu kırmızı süngerimsi contaları adi yerin çıkıyor ürün kullanılamaz hale geliyor servis verdiğinizde değiş iade seçeneği sunuyor değiş şansınız çünkü ürün stoklarda türlü bulunmuyor iade edey dediğinizde ise fatura bedeli üzerin iade alıyor sene içerisinde enflasyonu göz önünde bulundurduğunuzda iade etmeninde kötü çözüm olduğunu anlarsınız yıllık tecrübem sonunda geriye dönersem asla markaya parayı vermem,0.3333333333333333,Olumlu,1
MacBook Air,YouTube,@obeythesystem-n6v,"Fan yok, kasa dar. Bu yüzden özellikle sıcakta ısınma yüksek oluyor. Isındığı zamanda makine ağırlaşıyor.",1,2025-04-24T17:37:31Z,fan kasa dar yüz özellikle sıcakta ısınma yüksek oluyor isındığı zamanda makine ağırlaşıyor,-1.0,Olumsuz,0
AirPods Pro,YouTube,@apachecomm,Hocam tesekkur ederim. Ben icon x kullandığım için hic bunu düşünmedim ama sesi ve hatta baslari iyi veren bir kablosuz kulaklık arıyorum. Bir çok yeri de inceledim ama tam bir karar veremedim. Sizin akg incelemenizi izledim defaten ama yine bir karar veremedim :)),0,2020-01-25T17:50:26Z,hocam tesekkur eder icon kullandığım hic bunu düşünmed sesi hatta baslari iyi veren kablosuz kulaklık arıyorum yeri inceled tam karar veremed sizin akg incelemenizi izled defaten karar veremed,1.0,Olumlu,1
AirPods Pro,YouTube,@bedrhnyldz,Alp Gürsoy kaliteli içeriğe devam ediyor..İş hayatı ve youtube kariyerinde başarılar abi❤,3,2020-01-27T12:31:39Z,alp gürsoy kaliteli içeriğe devam ediyoriş hayatı youtube kariyerinde başarı abi,1.0,Olumlu,1
Dyson Supurge,YouTube,@orkunsenkaya,"Uzun kullanım yorumu: En başta fazlasıyla memnundum ve dikkatli kullandım. Biliyorsunuz parçaları plastik ve narinler. Ama şu an Gen 5 detect. Süpürgem yedek parçası olmadığından 2 aya yakındır çalışmıyor. Yeni bir ürün olmasına ve garantisi devam etmesine rağmen. Eskilere ise hiç yedek parça gelmiyor sikayetvarda binlerce sikayet var. Yani diyecegim o ki sadece pazarlamaya odaklanmis durumdalar.
Ve süpürgelerin parçalari plastik yani ille zarar görüyor. Bir parça da sorun olduğu taktirde süpürgesiz kalacağınızı bilin öyle siparis edin. Dyson destek hatti 2 aydır parça geldiginde haber verecegiz diyorlar sadece. Ben satın alırken aynı yorumlar v15 içinde vardı ama kulak arkası etmiştim. Şimdi uzun süreli kullanımda benim de başıma geldi",0,2025-09-10T07:52:25Z,uzun kullanım yorumu başta fazlasıyla memnundum dikkatli kullandım biliyorsunuz parçaları plastik narin gen detect süpürgem yedek parçası olmadığın aya yakındır çalışmıyor yeni ürün olmasına garantisi devam etmesine rağmen eskilere ise hiç yedek parça gelmiyor sikayetvarda binlerce sikayet yani diyeceg sadece pazarlamaya odaklanmis durumda süpürgelerin parçalari plastik yani ille zarar görüyor parça sor olduğu taktirde süpürgesiz kalacağınızı bilin öyle siparis edin dyson destek hatti aydır parça geldiginde haber verecegiz diyor sadece satın alırken aynı yorum içinde vardı kulak arkası etmişt şimdi uzun süreli kullanımda ben başıma geldi,-1.0,Olumsuz,0
iPhone 15,YouTube,@musiclyjoke5420,"anneme aldık 11 kullanıyordu ve ekran hassasiyetinden memnun değildi. şu anlık en çok ekran dikkatimi çekti (dinamik ada zaten çok iyi ama o zaten 14 pro da var). yani kısaca ekran müthiş olmuş. bende elimdekini 15 pro ya yenilemeyi düşünüyordum ama şu anlık 15 pro düz 15 kadar yenilikçi gelmedi (aslında rt, titanyum, kamera vb iyi de zaten benim telefonum da iyi). şu anlık memnun ve pembesi de çok güzel. zaten şu ana kadar apple alıp da pişman olduğumu hatırlamıyorum (intel macler hariç).",0,2023-11-23T20:20:26Z,anneme aldık kullanıyordu ekran hassasiyetin memn değildi anlık ekran dikkati çekti dinamik ada zaten iyi zaten pro yani kısaca ekran müthiş olmuş bende elimdekini pro yenilemeyi düşünüyordum anlık pro düz yenilikçi gelmedi aslında titanyum kamera iyi zaten ben telefonum iyi anlık memn pembesi güzel zaten ana apple alıp pişman olduğumu hatırlamıyorum intel mac hariç,0.5,Olumlu,1
Dyson Supurge,YouTube,@selahaddinkaplan1613,"Bu işi yapan biri olarak  yıkanabilir filtreler ölümsüz değil sürekli günlük kullanımda bir süre sonra yıkandasa performansını kaybediyor buda makineyi ısıtıp performans kaybına neden oluyor
ayrıca sürekli makineyi boost modunda çalıştırmak extra bir temizlik sağlamıyor aksine başlığın işini yapabilmesi için eco modda yavaş yavaş hareket ettirmek en verimlisi",3,2024-07-19T08:50:56Z,işi yapan biri olarak yıkanabilir filtre ölümsüz değil sürekli günlük kullanımda süre sonra yıkandasa performansını kaybediyor buda makineyi ısıtıp performans kaybına neden oluyor ayrıca sürekli makineyi boost modunda çalıştırmak extra temizlik sağlamıyor aksine başlığın işini yapabilmesi eco modda yavaş yavaş hareket ettirmek verimlisi,-1.0,Olumsuz,0
AirPods Pro,YouTube,@mustafayesilkaya4821,bunun çakmasında benim kulaklılar ters ses veriyo sorun düzeltilebilirmi ?,0,2020-12-18T00:14:08Z,bun çakmasında ben kulaklı ters ses veriyo sor düzeltilebilir,-1.0,Olumsuz,0
AirPods Pro,Twitter (Simulated),@user_79299,@ShiftDelete Abi montajları çok iyi yapmışsın bi inceleme videosu olsa bile çok akıcı 🧡,1,2020-01-25T21:44:20Z,shiftdelete abi montajları iyi yapmışsın inceleme videosu olsa bile akıcı,1.0,Olumlu,1
Dyson Supurge,Twitter (Simulated),@user_35382, bu kadar malzemeyi kutuya sığdırma başarısı :) güzel bir gözlem,96,2024-03-01T22:07:30Z,malzemeyi kutuya sığdırma başarısı güzel gözlem,1.0,Olumlu,1
Dyson Supurge,Instagram (Simulated),insta_user_6499,"😍 Çok güzel bir tanıtım kardeşim, emeğine sağlık #teknoloji",414,2024-09-30T19:28:34Z,güzel tanıtım kardeş emeğine sağlık teknoloji,1.0,Olumlu,1
iPhone 15,YouTube,@rabiaakrkmz12,ben yenı aldm ıphone 15 60 hz gayet ıyı kullanıslı donma kasma vs yok benm eskı telefonum 120hz bunda ıse 60 hz aralarında pek fark yok ıphone 15 alınabılır telefon  kamera ayarı efsane cekıyor şarj ise dayanıklı bana en rahat 2 gun yetıyor sarj ben çok memnunum  ıphone 15 👍🩷,15,2023-10-17T18:16:19Z,yenı aldm ıphone gayet ıyı kullanıslı donma kasma benm eskı telefonum bunda ıse aralarında pek fark ıphone alınabılır telefon kamera ayarı efsane cekıyor şarj ise dayanıklı rahat gun yetıyor sarj memnunum ıphone,1.0,Olumlu,1
iPhone 15,Twitter (Simulated),@user_64559, Hocam 13 pro mu 15 düz mü hangisini almamı tavsiye edersiniz,11,2025-07-27T20:03:02Z,hocam pro düz hangisini alma tavsiye eder,1.0,Olumlu,1
AirPods Pro,Instagram (Simulated),insta_user_1603,"😍 Merhaba, şarj etmek için eski tip iphone şarj aleti kullanmak sorun olur mu? #unboxing",18,2022-10-20T15:03:41Z,merhaba şarj etmek eski tip iphone şarj aleti kullanmak sor olur unboxing,-1.0,Olumsuz,0
Samsung S24,YouTube,@mustafakemal4566,Ozan bey bende aldım s24 biraz ısınıyor ama pili umdugum gibi çıkmadı 4.5 5 saat ancak ekran açık süresi alıyorum acaba gelecek güncellemeyle pili daha da iyi olur mu ısıda biraz düşermi yoksa poco f6 pro alacağım,0,2024-07-13T22:26:21Z,ozan bey bende aldım biraz ısınıyor pili umdugum çıkmadı saat ekran açık süresi alıyorum acaba gelecek güncellemeyle pili iyi olur ısıda biraz düşer yoksa poco pro alacağım,1.0,Olumlu,1
Dyson Supurge,Instagram (Simulated),insta_user_4849,❤️ Samsung jet serisi en güzel fiyat performans ürünü. Tavsiye ederim. ben jet 75 modelini yılbaşınd... #alisveris,145,2024-01-06T10:06:05Z,samsung jet serisi güzel fiyat performans ürünü tavsiye eder jet modelini yılbaşınd alisveris,1.0,Olumlu,1
MacBook Air,YouTube,@erdincyaz4359,"Bir önceki MacBook Pro 13 u 2014 yılında almıştım. hala aktif.  şimdi macbbokair 15 M4 işlemcili versiyona geçtim. Çok memnunum. 15 sadece 13 ten sonra biraz büyük geldi. ama alıştım. ses mükemmel, hatta mükemmel ötesi. ekran kalitesini sıradan markların panelleriyle kıyaslamayın. 60-120 hz farkını hissedebileceğinizi sanmıyorum. ...batarayda lütfen, günlük kullanım değil, ömür olarak düşününün. sıradan markaların 2 senede ölürken, bunda en az 5 yıl sorun yaşanacağını düşünmüyorum. öneri, düşük güçteki adaptör evet daha az maliyetli, ama pili optimum düzeyde şarj edeceği için batarya sağlığı içindir. işlemci; cpu ve gpu un birleştiği bir model unutmayın. günlük kullanımın uzerinde bile eski nesil 13 inç temel seviye proya denk bir model suanki M4 air. ... M1 de veya M2 den M4 e geçmeyin. gerek yok.tek fark geçen sene satılan modeller baz düzeyde 8 gb ram le gelirken 16 gb baz geliyor.  MAC os kullanmamak bir kayıptır. 15 yılkullanıyorum, 1 kere bile işletim sistemi sorunu görmedim. çöktüğünü hatırlamıyorum. virus hatırlamıyorum.neyse konumuz M4 15 inç. düşünmeden alın. en az 7-8 yıl arkanıza bakmayın....",3,2025-05-07T19:28:56Z,önceki macbook pro yılında almıştım hala aktif şimdi macbbokair işlemcili versiyona geçt memnunum sadece ten sonra biraz büyük geldi alıştım ses mükemmel hatta mükemmel ötesi ekran kalitesini sıra markların panelleriyle kıyaslamayın farkını hissedebileceğinizi sanmıyorum batarayda lütfen günlük kullanım değil ömür olarak düşünün sıra markaların senede ölürken bunda yıl sor yaşanacağını düşünmüyorum öneri düşük güçteki adaptör evet maliyetli pili optimum düzeyde şarj edeceği batarya sağlığı içindir işlemci cpu gpu birleştiği model unutmayın günlük kullanımın uzerinde bile eski nesil inç temel seviye proya denk model suanki air veya den geçmeyin gerek yoktek fark geçen sene satılan model baz düzeyde ram gelirken baz geliyor mac kullanmamak kayıptır yılkullanıyorum kere bile işlet siste sorunu görmed çöktüğünü hatırlamıyorum virus hatırlamıyorumneyse konumuz inç düşünme alın yıl arkanıza bakmayın,0.3333333333333333,Olumlu,1
Dyson Supurge,YouTube,@umutd07,"Philips xc7043 kullanıyorum, üç katı kadar verip bunu almaktansa Philips tavsiye ederim. Pil performansı çekiş ve aparatları mükemmel",4,2024-01-07T20:19:55Z,philips kullanıyorum katı verip bunu almaktansa philips tavsiye eder pil performansı çekiş aparatları mükemmel,1.0,Olumlu,1
iPhone 15,YouTube,@tankernejlaaa,Selamlar efendim şimdi şarjı nasıl yapmalıyız acaba %5-10 civarında takıp %100 de çıkarsak ne gibi bir sorun olur ?,0,2024-01-31T18:13:36Z,selam efend şimdi şarjı nasıl yapmalıyız acaba civarında takıp çıkarsak sor olur,-1.0,Olumsuz,0
AirPods Pro,YouTube,@wefish80,"Abi hayır senin airpods bozuk (kapağı)
Bende, 2. Nesilde var pro da var, ve ikisi nin kapağıda aynı. Sallanmıyor. Seninki bozuk.",1,2020-05-31T17:27:21Z,abi hayır senin airpods bozuk kapağı bende nesilde pro ikisi nin kapağıda aynı sallanmıyor seninki bozuk,-1.0,Olumsuz,0
iPhone 15,Instagram (Simulated),insta_user_7918,"🤔 Çok hızlı anlatıyotsunuz, ve videolar arası geçişleri de çok kısa ve hızlı, teşekkürler #fiyatperformans",147,2024-06-08T03:45:18Z,hızlı anlatıyotsunuz video arası geçişleri kısa hızlı teşekkür fiyatperformans,1.0,Olumlu,1
iPhone 15,Instagram (Simulated),insta_user_9954,💸 Güzel bir inceleme olmuş bende 15 pro mpdelini tercih ettim ama dediğin gibi bariz alınacak bir f... #tech,362,2023-10-07T15:50:24Z,güzel inceleme olmuş bende pro mpdelini tercih ett dediğin bariz alınacak tech,1.0,Olumlu,1
Samsung S24,YouTube,@kadirknt,"Abim video için teşekkür ederim sana birkaç sorum olacak 
S23 mu s24 mu almak mantıklı 5 10 k vermeye değer mi? Şimdi s24 alacak olsan s24+ daha iyi değil mi ? S24 ve s24+ arasında 3k var fark ?

Diğer sorum s23ten s24e geçmeye değer mi
Yoksa s25 mi beklenmeli ?",2,2024-07-13T17:21:15Z,abim video teşekkür eder birkaç sorum olacak almak mantıklı vermeye değer şimdi alacak olsan iyi değil arasında fark diğer sorum sten geçmeye değer yoksa beklenmeli,1.0,Olumlu,1
AirPods Pro,YouTube,@mselimcengiz,huawei free buds pro inceleme imkanınız olursa çok mutlu edersiniz :)iyi çalışmalar.,0,2020-10-18T09:37:01Z,huawei free buds pro inceleme imkanınız olursa mutlu eder iyi çalışma,1.0,Olumlu,1
iPhone 15,Instagram (Simulated),insta_user_4266,💩 Ben 15 aldım ve asla memnun kalmadım kameraya ürün yakınlaştırıp çekim yapmak istiyorum yapmıyor ... #teknoloji,159,2023-10-08T15:28:18Z,aldım asla memn kalmadım kameraya ürün yakınlaştırıp çek yapmak istiyorum yapmıyor teknoloji,1.0,Olumlu,1
Samsung S24,YouTube,@batubaycan4098,Ekran ve kamera kumlanma sorunundan bahsediyolar duzeldi mi incelemede bazi seylere değinirseniz daha iyi olur,5,2024-07-14T08:26:47Z,ekran kamera kumlanma sorunun bahsediyo duzeldi incelemede bazi seylere değinirseniz iyi olur,1.0,Olumlu,1
AirPods Pro,YouTube,@mustafasarhan5750,Merhaba iyi günler airposd aldım ve çokda memnunum malisef çalıştığım ortam çok tozlu ve çok makine var cebimde taşıyorum kulaklığımı ne kadar dikkat etsem de demir tozu oluyor mıtlatız dan dolayı buna nasıl engel olabilirim bu çıkan kılıf veya korumaların faydası olur mu şimdiden teşekkür ederim,0,2023-11-02T07:38:46Z,merhaba iyi gün airposd aldım çokda memnunum malisef çalıştığım ortam tozlu makine cebimde taşıyorum kulaklığı dikkat etsem demir tozu oluyor mıtlatız dan dolayı buna nasıl engel olabilir çıkan kılıf veya korumaların faydası olur şimdi teşekkür eder,1.0,Olumlu,1
iPhone 15,YouTube,@VadininHayaletleri,iPhone milleti çok kötü kazıkladı bazı teknolojiler çok geriden geliyor hem de en basit olan teknolojiler,0,2024-05-28T10:10:16Z,iphone milleti kötü kazıkladı bazı teknoloji geri geliyor hem basit olan teknoloji,-1.0,Olumsuz,0
Dyson Supurge,Twitter (Simulated),@user_75559," ....gelelim esas konuya..!!!

   Bu süpürgeyi alma şansım yok, bilgi amsçlı videoyu izledim, video akıcı sıkılmadan izledim...

  Eksikler;  bu alet şarzlı, güzel peki kablosu var mı kablo ile kullanması yoksa ne olur!?!?

 Bu gibi şarzlı aletlerin bataryaları kısa zaman sonra...",11,2024-02-28T22:11:55Z,gelel esas konuya süpürgeyi alma şansım bilgi amsçlı videoyu izled video akıcı sıkılma izled eksik alet şarzlı güzel peki kablosu kablo kullanması yoksa olur şarzlı aletlerin bataryaları kısa zaman sonra,1.0,Olumlu,1
AirPods Pro,YouTube,@niwolex8154,Dürüst adan sevdim bak şihdetenen  kertenjeleleri gibi oynamıyor reklam yok alın alın oo çok güzel öldğm bittim demiyo hiç diyilse,0,2020-04-17T22:54:03Z,dürüst adan sevd bak şihdetenen kertenjeleleri oynamıyor reklam alın alın güzel öldğm bitt demiyo hiç diyilse,1.0,Olumlu,1
AirPods Pro,YouTube,@melih9can,Apple bu yakın çekimler için para ödemesi gerekiyor reklamlarından daha kaliteli,0,2020-01-25T23:02:33Z,apple yakın çekim para ödemesi gerekiyor reklamların kaliteli,1.0,Olumlu,1
AirPods Pro,Instagram (Simulated),insta_user_1693,🔥 Ben gayet memnunum alışmak biraz zaman aldı gürültü engelleme çok iyi #tech,360,2020-01-25T18:38:35Z,gayet memnunum alışmak biraz zaman aldı gürültü engelleme iyi tech,1.0,Olumlu,1
AirPods Pro,YouTube,@gokhanozer8597,"15 degil 5 dakikalik sarjla 1 saat kullanim suresi veriyo. pil eskime konusuna gelince, airpods sokulebilir bir urun olmadigindan pil degisimi yapilamiyor bu dogru fakat 2 yil icerisinde pil performansi duserse  kulakliklari yenisiyle degistiriyorlar. (benim 1. nesil cihazimda sadece kulakliklari degistirdiler, kutuyu degil. perf. dususu kulakliklardaymis). performans dususu de inanilmaz yogun kullanan birisi olarak asiri rahatsiz edici degildi. yine de garantisinin dolmasina tam 20 gun kala askerde nasilsa kullanmicam diye verdim, 3 gun sonra degistirdiler. ""olcumlere gore kutunuz iyi durumda ancak kulakliklarda dusus vardi degisimini yaptik"" dediler. sifir olanlari hic kullanmadan anneme hedye edip asker donusu pro aldim. muhtemelen en az 3-4 sene de annem kullanacaktir. isterseniz garantisinin dolmasina 1 gun kalsin farketmiyo. ustelik 3 gun sonra da ""sorununuz tam olarak giderildi mi, cihazinizda herhangibir sikinti var mi"" diye tekrar ariyorlar boyle bir firma. bizzat tecrube edilmistir.",0,2020-01-25T18:15:51Z,degil dakikalik sarjla saat kullan suresi veriyo pil eskime konusuna gelince airpods sokulebilir urun olmadigin pil degisi yapilamiyor dogru yil icerisinde pil performansi duserse kulakliklari yenisiyle degistiriyor ben nesil cihazimda sadece kulakliklari degistirdi kutuyu degil perf dususu kulakliklardaymis performans dususu inanilmaz yog kullanan birisi olarak asiri rahatsiz edici degildi garantisi dolmasina tam gun kala askerde nasilsa kullanmicam verd gun sonra degistirdi olcumlere gore kutunuz iyi durumda kulakliklarda dusus vardi degisimini yaptik dedi sifir olanlari hic kullanma anneme hedye edip asker donusu pro ald muhtemelen sene annem kullanacaktir isterseniz garantisi dolmasina gun kal farketmiyo ustelik gun sonra sorununuz tam olarak giderildi cihazinizda herhangibir sikinti tekrar ariyor boyle firma bizzat tecrube edilmistir,1.0,Olumlu,1
iPhone 15,YouTube,@buyukusta3032,Abi öncelikle emeğine sağlık huawei freebuds mı yoksa haylou w1 mi müzik dinlemek için hangisi daha iyi bide haylou w1 modeli ile haylou gt3 pro arasında çok fark var mı,0,2023-10-07T22:52:51Z,abi öncelikle emeğine sağlık huawei freebuds yoksa haylou müzik dinlemek hangisi iyi bide haylou modeli haylou pro arasında fark,1.0,Olumlu,1
iPhone 15,YouTube,@DolunayBlack,Oyun oynuyorum aşırı yavaş mı?,0,2025-04-13T15:06:18Z,oyun oynuyorum aşırı yavaş,-1.0,Olumsuz,0
AirPods Pro,YouTube,@fuatyekebag8645,Yine kaliteli bir vıdeo emeğinize sağlık👍🏻,1,2020-01-25T16:03:34Z,kaliteli vıdeo emeğinize sağlık,1.0,Olumlu,1
Samsung S24,Twitter (Simulated),@user_98575, Merhabalar hocam s24 snapdragon 8 gen 3 kullanıyorum 2 ci el aldım sarjı çok hızlı gidiyor sabah 11 de 100 le çıktım evden 8 gibi falan bitiyor sarjı. 6 saat fslan ekrn sürüsi verihor,8,2024-09-11T20:15:15Z,merhaba hocam snapdragon gen kullanıyorum aldım sarjı hızlı gidiyor sabah çıktım evden falan bitiyor sarjı saat fslan ekrn sürüsi verihor,1.0,Olumlu,1
